Frame,F_Angry,F_Disgusted,F_Afraid,F_Happy,F_Sad,F_Surprised,F_Neutral
160,0.00023241362941917032,1.7373675952007798e-15,0.020482677966356277,5.0143367843702435e-05,0.061097342520952225,2.987465386183885e-09,0.9181374907493591
161,1.531476118543651e-05,5.079324653647834e-16,0.02258632518351078,3.041203626708011e-06,0.7492278218269348,1.1233892288631253e-10,0.22816750407218933
162,0.00011624766193563119,1.6807791780593107e-06,0.016276339069008827,0.7470024228096008,0.025977523997426033,0.00032650987850502133,0.21029934287071228
163,0.00016964940004982054,2.056639480940703e-08,0.7449948787689209,0.0003370125195942819,0.08962308615446091,0.0010104798711836338,0.1638648509979248
164,0.00397757813334465,2.1873214791412465e-05,0.22812923789024353,0.03021775744855404,0.2107357233762741,0.0006153604481369257,0.5263023972511292
165,0.00565920677036047,0.000291285861749202,0.06425133347511292,0.012302096001803875,0.14442743360996246,0.0137144410982728,0.7593543529510498
166,0.005961576942354441,0.0006027525523677468,0.14333416521549225,0.10644082725048065,0.181284561753273,0.013188164681196213,0.549187958240509
167,0.022952750325202942,0.003930305130779743,0.08652772754430771,0.034071072936058044,0.41768327355384827,0.007187424693256617,0.4276474416255951
168,0.013726864941418171,0.0044321040622889996,0.05990986526012421,0.08297653496265411,0.5132596492767334,0.002524829702451825,0.32317009568214417
169,0.005822634324431419,0.00024676494649611413,0.016445787623524666,0.048035625368356705,0.17218780517578125,0.003531509777531028,0.7537298798561096
170,0.002759421244263649,2.4881455829017796e-05,0.0056274207308888435,0.012295619584619999,0.07139305025339127,0.0006852980586700141,0.907214343547821
171,0.002407488413155079,9.429554665985052e-06,0.005559725221246481,0.005724599119275808,0.05492567643523216,0.0005361005896702409,0.9308369159698486
172,0.006875735707581043,9.806853631744161e-05,0.01955854892730713,0.013729325495660305,0.07137300819158554,0.0004916530451737344,0.887873649597168
173,0.017348242923617363,0.0004631949122995138,0.04954192042350769,0.004654645919799805,0.18965685367584229,0.0005108707118779421,0.7378242611885071
174,0.0025260632392019033,1.4973211364122108e-05,0.006520322524011135,0.012552684172987938,0.05740189924836159,0.000940805533900857,0.9200432300567627
175,0.016598904505372047,0.00036072268267162144,0.042482636868953705,0.012411775067448616,0.14737364649772644,0.0011027849977836013,0.7796695232391357
176,0.012393934652209282,0.00032016189652495086,0.03566397354006767,0.006399066187441349,0.14667585492134094,0.0006373474025167525,0.7979097366333008
177,0.013203161768615246,0.0005097236135043204,0.014462275430560112,0.010562517680227757,0.1708565354347229,0.00030781759414821863,0.7900979518890381
